name,state,year,state_pop,Male,female,white,share_white,Black,share_black,India,share India,Asian,share_asian,overage18,share_18,overage65, share_65 ,median_income,mean_income, Unemp_rate ,Pop_change,rental,rental_grow
New Mexico,NM,2017,"9,973,907","4,911,965","5,061,942","8,082,811",0.81,"1,524,001",0.15,"148,080",0.01,"390,937",0.04,"7,528,995",0.75,"1,766,409",0.177,"59,234","80,803",0.06,"-12,950",1060.092726,0.037781698
New York,NY,2017,"5,600,166","2,789,017","2,811,149","4,773,429",0.85,"447,354",0.08,"110,783",0.02,"330,738",0.06,"4,113,452",0.73,"921,491",0.165,"73,382","96,814",0.038,"-39,466",1157.879711,0.0263689
North Dakota,ND,2017,"2,981,835","1,443,708","1,538,127","1,774,378",0.6,"1,149,098",0.39,"24,230",0.01,"39,237",0.01,"2,238,133",0.75,"486,804",0.163,"46,511","65,156",0.071,"5,686",1051.292314,0.04932063
Ohio,OH,2017,"6,124,160","3,004,001","3,120,159","5,179,826",0.85,"784,331",0.13,"82,267",0.01,"161,495",0.03,"4,630,115",0.76,"1,057,943",0.173,"57,290","78,194",0.045,"-13,268",925.4112306,0.045645407
Oklahoma,OK,2017,"1,061,705","534,128","527,577","970,545",0.91,"12,031",0.01,"87,563",0.08,"15,622",0.01,"823,797",0.78,"207,909",0.196,"56,539","76,834",0.042,"-7,073",929.5284428,0.056756093
Rhode Island,RI,2017,"1,923,826","959,677","964,149","1,711,828",0.89,"117,761",0.06,"33,736",0.02,"62,516",0.03,"1,373,561",0.71,"312,295",0.162,"63,015","82,306",0.034,"-10,582",1024.994828,0.038334501
South Carolina,SC,2017,"3,030,281","1,520,196","1,510,085","2,080,484",0.69,"337,681",0.11,"67,377",0.02,"320,596",0.11,"2,071,272",0.68,"498,219",0.164,"62,043","84,350",0.066,"-49,875",1436.89977,0.042728759
West Virginia,WV,2017,"1,355,244","671,802","683,442","1,284,067",0.95,"32,277",0.02,"10,734",0.01,"47,713",0.04,"1,065,299",0.79,"253,147",0.187,"77,923","101,292",0.038,"-4,467",1395.573188,0.062552025
Wisconsin,WI,2017,"8,885,418","4,341,123","4,544,295","6,188,854",0.7,"1,335,434",0.15,"64,849",0.01,"948,998",0.11,"6,156,380",0.69,"1,475,075",0.166,"85,245","117,868",0.058,"3,228",1561.219835,0.037886577
Alabama,AL,2018,"2,097,021","1,038,007","1,059,014","1,627,090",0.78,"62,321",0.03,"229,071",0.11,"48,942",0.02,"1,511,406",0.72,"377,730",0.18,"51,243","70,241",0.066,192,1124.964708,0.049057265
Alaska,AK,2018,"19,514,849","9,474,184","10,040,665","12,894,580",0.66,"3,396,120",0.17,"207,027",0.01,"1,884,346",0.1,"13,764,741",0.71,"3,295,968",0.169,"71,117","105,304",0.057,"61,288",1275.719217,0.042952292
Arkansas,AR,2018,"10,386,227","5,052,667","5,333,560","7,348,103",0.71,"2,392,742",0.23,"208,642",0.02,"377,854",0.04,"7,636,496",0.74,"1,750,935",0.169,"56,642","79,620",0.054,"-101,857",1162.13458,0.045726066
Delaware,DE,2018,"760,394","389,284","371,110","674,281",0.89,"28,675",0.04,"50,939",0.07,"16,362",0.02,"564,942",0.74,"120,177",0.158,"65,315","85,506",0.031,"-1,668",863.0725286,-0.055099219
Hawaii,HI,2018,"11,675,275","5,721,796","5,953,479","9,776,587",0.84,"1,673,910",0.14,"99,662",0.01,"344,131",0.03,"8,855,290",0.76,"2,043,548",0.175,"58,116","78,797",0.053,"-13,825",917.2354165,0.042675381
Indiana,IN,2018,"3,949,342","1,956,617","1,992,725","3,129,278",0.79,"364,516",0.09,"535,675",0.14,"116,701",0.03,"2,855,801",0.72,"635,222",0.161,"53,840","74,195",0.051,"-7,629",968.7035692,0.054269234
Kansas,KS,2018,"4,176,346","2,070,627","2,105,719","3,692,435",0.88,"124,917",0.03,"130,446",0.03,"258,188",0.06,"3,108,030",0.74,"767,496",0.184,"65,667","88,137",0.055,"-41,391",1436.523006,0.045592345
Kentucky,KY,2018,"12,794,885","6,269,142","6,525,743","10,537,652",0.82,"1,634,203",0.13,"92,952",0.01,"532,335",0.04,"9,778,957",0.76,"2,388,218",0.187,"63,627","87,262",0.054,"-7,104",1035.284064,0.038283063
Louisiana,LA,2018,"1,057,798","514,524","543,274","877,920",0.83,"91,539",0.09,"13,851",0.01,"45,472",0.04,"795,022",0.75,"187,155",0.177,"70,305","92,427",0.055,"-1,563",1446.309858,0.05615662
Massachusetts,MA,2018,"5,091,517","2,468,682","2,622,835","3,521,154",0.69,"1,423,031",0.28,"48,904",0.01,"110,663",0.02,"3,849,680",0.76,"935,538",0.184,"54,864","76,390",0.055,"-57,197",1191.106565,0.04110497
Michigan,MI,2018,"879,336","442,948","436,388","762,967",0.87,"25,975",0.03,"91,221",0.1,"16,062",0.02,"644,867",0.73,"153,799",0.175,"59,896","77,932",0.035,"-5,323",911.0387562,0.033593003
Mississippi,MS,2018,"6,772,268","3,304,462","3,467,806","5,380,206",0.79,"1,214,063",0.18,"62,889",0.01,"155,558",0.02,"5,082,240",0.75,"1,138,965",0.168,"54,833","76,937",0.053,"-56,906",1112.422552,0.042873677
Missouri,MO,2018,"28,635,442","14,221,720","14,413,722","21,681,317",0.76,"3,834,846",0.13,"370,697",0.01,"1,656,166",0.06,"18,578,831",0.65,"3,738,727",0.131,"63,826","89,506",0.053,"-360,439",1138.886622,0.0142426
Nebraska,NE,2018,"3,151,239","1,586,950","1,564,289","2,807,476",0.89,"59,239",0.02,"56,640",0.02,"112,368",0.04,"2,082,893",0.66,"365,198",0.116,"74,197","94,452",0.036,"-54,719",1518.575072,0.052077319
Nevada,NV,2018,"624,340","308,441","315,899","600,582",0.96,"12,384",0.02,"8,096",0.01,"14,972",0.02,"497,391",0.8,"125,201",0.201,"63,477","83,767",0.038,351,1492.076213,0.03625493
New Mexico,NM,2018,"8,509,358","4,186,543","4,322,815","6,000,367",0.71,"1,800,436",0.21,"89,497",0.01,"691,449",0.08,"6,198,540",0.73,"1,358,336",0.16,"76,398","106,023",0.046,"-26,161",1257.057943,0.045801889
New York,NY,2018,"7,512,465","3,759,007","3,753,458","6,007,728",0.8,"425,653",0.06,"223,318",0.03,"854,617",0.11,"5,344,645",0.71,"1,207,685",0.161,"77,006","103,669",0.049,"-102,428",1415.233319,0.051487889
North Dakota,ND,2018,"1,807,426","893,743","913,683","1,713,884",0.95,"84,768",0.05,"13,391",0.01,"20,784",0.01,"1,428,525",0.79,"367,400",0.203,"48,037","65,332",0.065,"15,279",966.4893777,0.030399883
Ohio,OH,2018,"5,806,975","2,889,783","2,917,192","5,076,630",0.87,"441,868",0.08,"93,288",0.02,"203,052",0.03,"4,392,490",0.76,"1,019,896",0.176,"63,293","82,757",0.036,"-15,459",975.7930901,-0.015242093
Oklahoma,OK,2018,"581,348","296,280","285,068","547,044",0.94,"10,732",0.02,"20,414",0.04,"9,194",0.02,"435,357",0.75,"98,789",0.17,"65,304","83,583",0.044,"2,589",919.4970672,-0.050061986
Rhode Island,RI,2018,"5,039,877","2,445,896","2,593,981","3,507,335",0.7,"1,378,109",0.27,"105,702",0.02,"96,645",0.02,"3,829,788",0.76,"679,665",0.135,"53,913","75,923",0.053,"146,691",1154.45367,0.103901069
South Carolina,SC,2018,"732,673","383,121","349,552","522,115",0.71,"38,623",0.05,"151,861",0.21,"65,864",0.09,"533,852",0.73,"98,410",0.134,"77,845","100,519",0.07,"-4,317",1402.555751,0.132554945
West Virginia,WV,2018,"7,276,316","3,629,620","3,646,696","5,645,464",0.78,"458,285",0.06,"438,351",0.06,"349,654",0.05,"5,216,518",0.72,"1,333,985",0.183,"69,056","93,177",0.058,"102,252",1523.620679,0.127107433
Wisconsin,WI,2018,"3,025,891","1,493,681","1,532,210","2,405,726",0.8,"489,012",0.16,"83,619",0.03,"67,428",0.02,"2,237,649",0.74,"525,153",0.174,"52,528","73,126",0.055,"14,018",995.3958336,0.049086288
Alabama,AL,2019,"39,237,836","19,618,934","19,618,902","22,418,889",0.57,"2,848,110",0.07,"1,301,969",0.03,"6,971,642",0.18,"26,028,290",0.66,"5,964,526",0.152,"84,907","120,953",0.083,"-108,187",2108.843573,0.065629302
Alaska,AK,2019,"5,812,069","2,943,037","2,869,032","4,928,975",0.85,"330,255",0.06,"194,212",0.03,"276,601",0.05,"4,303,604",0.74,"880,167",0.151,"82,254","110,650",0.053,"127,143",2412.793698,0.086772855
Arkansas,AK,2019,"3,605,597","1,768,045","1,837,552","2,729,818",0.76,"498,445",0.14,"54,174",0.02,"210,148",0.06,"2,659,979",0.74,"649,172",0.18,"83,771","120,009",0.067,"35,048",1601.332598,0.101415013
Delaware,DE,2019,"1,003,384","485,908","517,476","690,900",0.69,"243,431",0.24,"23,607",0.02,"50,814",0.05,"754,114",0.75,"201,551",0.201,"71,091","95,633",0.056,"35,705",1459.026853,0.14826996
Hawaii,HI,2019,"21,781,128","10,714,520","11,066,608","16,145,142",0.74,"3,848,174",0.18,"310,535",0.01,"822,675",0.04,"15,855,982",0.73,"4,598,996",0.211,"63,062","89,573",0.056,"564,204",1654.715315,0.158288589
Indiana,IN,2019,"10,799,566","5,270,144","5,529,422","6,427,324",0.6,"3,607,865",0.33,"256,025",0.02,"568,011",0.05,"7,786,111",0.72,"1,585,687",0.147,"66,559","92,425",0.055,"282,987",1258.570675,0.167056296
Kansas,KS,2019,"1,441,553","725,604","715,949","617,903",0.43,"52,774",0.04,"40,944",0.03,"814,349",0.56,"1,044,019",0.72,"282,567",0.196,"84,857","111,751",0.077,"21,479",2521.468634,0.137335145
Kentucky,KY,2019,"1,900,923","954,313","946,610","1,720,408",0.91,"24,514",0.01,"61,299",0.03,"48,426",0.03,"1,373,714",0.72,"314,010",0.165,"66,474","89,955",0.033,"146,556",1310.898149,0.128411761
Louisiana,LA,2019,"12,671,469","6,264,364","6,407,105","9,095,983",0.72,"1,928,227",0.15,"263,088",0.02,"857,730",0.07,"9,087,338",0.72,"2,103,309",0.166,"72,205","99,874",0.074,"-44,695",963.622274,0.062154637
Massachusetts,MA,2019,"6,805,985","3,374,931","3,431,054","5,786,317",0.85,"731,678",0.11,"132,837",0.02,"205,442",0.03,"5,030,200",0.74,"1,115,579",0.164,"62,743","82,643",0.047,"109,092",943.496016,0.052536291
Michigan,MI,2019,"3,193,079","1,603,267","1,589,812","2,902,511",0.91,"163,204",0.05,"56,020",0.02,"98,950",0.03,"2,379,570",0.75,"567,581",0.178,"65,600","86,499",0.036,"43,068",963.0511506,0.040390122
Mississippi,MS,2019,"2,934,582","1,474,610","1,459,972","2,526,216",0.86,"221,163",0.08,"92,417",0.03,"110,497",0.04,"2,128,111",0.73,"489,676",0.167,"64,124","86,580",0.044,"21,963",855.6953863,0.054706495
Missouri,MO,2019,"4,509,394","2,229,328","2,280,066","4,028,761",0.89,"406,188",0.09,"105,381",0.02,"92,590",0.02,"3,405,618",0.76,"768,416",0.17,"55,573","76,234",0.054,"47,442",987.0517688,0.082349892
Nebraska,NE,2019,"4,624,047","2,260,866","2,363,181","2,953,186",0.64,"1,532,955",0.33,"100,148",0.02,"106,668",0.02,"3,439,830",0.74,"766,330",0.166,"52,087","75,590",0.076,"-40,569",1179.586861,0.076045795
Nevada,NV,2019,"1,372,247","673,483","698,764","1,315,304",0.96,"30,783",0.02,"23,720",0.02,"26,335",0.02,"1,100,974",0.8,"297,101",0.217,"64,767","87,756",0.049,"31,422",1342.984102,0.123237838
New Mexico,NM,2019,"6,165,129","3,003,091","3,162,038","3,438,289",0.56,"1,991,236",0.32,"106,989",0.02,"495,564",0.08,"4,417,293",0.72,"1,003,383",0.163,"90,203","119,958",0.059,"127,505",1422.194041,0.101792237
New York,NY,2019,"6,984,723","3,408,252","3,576,471","5,498,872",0.79,"704,726",0.1,"74,083",0.01,"577,225",0.08,"5,121,488",0.73,"1,216,447",0.174,"89,645","124,789",0.066,"111,720",1769.27537,-0.011280966
North Dakota,ND,2019,"10,050,811","4,976,869","5,073,942","8,099,335",0.81,"1,543,093",0.15,"177,692",0.02,"410,321",0.04,"7,640,514",0.76,"1,823,284",0.181,"63,498","86,093",0.069,"76,904",1116.006629,0.052744352
Ohio,OH,2019,"5,707,390","2,860,668","2,846,722","4,810,922",0.84,"484,015",0.08,"133,449",0.02,"353,442",0.06,"4,221,515",0.74,"959,272",0.168,"77,720","103,305",0.049,"107,224",1211.216783,0.046064432
Oklahoma,OK,2019,"2,949,965","1,435,423","1,514,542","1,793,210",0.61,"1,111,980",0.38,"69,291",0.02,"46,065",0.02,"2,226,474",0.75,"496,945",0.168,"48,716","68,048",0.064,"-31,870",1138.294323,0.0827572
Rhode Island,RI,2019,"6,168,187","3,045,181","3,123,006","5,221,765",0.85,"764,905",0.12,"138,710",0.02,"173,416",0.03,"4,675,531",0.76,"1,084,768",0.176,"61,847","84,920",0.046,"44,027",953.2977397,0.030134181
South Carolina,SC,2019,"1,104,271","560,911","543,360","1,008,087",0.91,"11,016",0.01,"91,509",0.08,"16,946",0.02,"857,649",0.78,"217,298",0.197,"63,249","87,083",0.04,"42,566",1299.234822,0.397735414
West Virginia,WV,2019,"1,963,692","986,019","977,673","1,703,949",0.87,"122,957",0.06,"47,696",0.02,"66,456",0.03,"1,411,320",0.72,"322,833",0.164,"66,817","89,209",0.027,"39,866",975.7681239,-0.048026295
Wisconsin,WI,2019,"3,143,991","1,585,207","1,558,784","2,064,558",0.66,"374,500",0.12,"99,511",0.03,"356,794",0.11,"2,193,360",0.7,"519,568",0.165,"66,274","89,961",0.097,"113,710",1610.407646,0.120751551
Alabama,AL,2020,"1,388,992","693,234","695,758","1,306,669",0.94,"36,986",0.03,"17,246",0.01,"48,923",0.04,"1,103,239",0.79,"267,741",0.193,"88,465","111,908",0.036,"33,748",1538.796348,0.102626763
Alaska,AK,2020,"9,267,130","4,563,560","4,703,570","6,042,866",0.65,"1,434,689",0.15,"119,368",0.01,"1,028,826",0.11,"6,433,068",0.69,"1,563,621",0.169,"89,296","124,951",0.081,"381,712",1742.821518,0.116320379
Arkansas,AR,2020,"2,115,877","1,052,355","1,063,522","1,511,375",0.71,"73,138",0.03,"270,863",0.13,"58,007",0.03,"1,545,938",0.73,"391,797",0.185,"53,992","76,989",0.078,"18,856",1259.515712,0.119604644
Delaware,DE,2020,"19,835,913","9,696,573","10,139,340","12,699,572",0.64,"3,488,324",0.18,"353,795",0.02,"1,967,535",0.1,"14,109,037",0.71,"3,477,337",0.175,"74,314","109,732",0.087,"321,064",1380.03549,0.081770558
Hawaii,HI,2020,"10,551,162","5,149,323","5,401,839","7,392,623",0.7,"2,387,469",0.23,"311,921",0.03,"416,542",0.04,"7,808,186",0.74,"1,796,369",0.17,"61,972","86,804",0.058,"164,935",1294.279626,0.113708901
Indiana,IN,2020,"774,948","399,544","375,404","689,486",0.89,"31,918",0.04,"54,830",0.07,"16,337",0.02,"576,588",0.74,"123,840",0.16,"66,519","86,666",0.029,"14,554",896.963018,0.039267255
Kansas,KS,2020,"11,780,017","5,808,575","5,971,442","9,820,152",0.83,"1,683,309",0.14,"190,485",0.02,"368,384",0.03,"8,943,128",0.76,"2,102,569",0.178,"62,262","84,572",0.054,"104,742",989.2803203,0.078545707
Kentucky,KY,2020,"3,986,639","1,984,707","2,001,932","3,142,156",0.79,"380,869",0.1,"580,669",0.15,"126,067",0.03,"2,903,864",0.73,"645,174",0.162,"55,826","75,430",0.059,"37,297",1049.505743,0.083412694
Louisiana,LA,2020,"4,246,155","2,121,532","2,124,623","3,645,894",0.86,"137,439",0.03,"177,769",0.04,"279,725",0.07,"3,200,314",0.75,"789,896",0.186,"71,562","95,662",0.064,"69,809",1603.634757,0.116330717
Massachusetts,MA,2020,"12,964,056","6,399,632","6,564,424","10,508,980",0.81,"1,655,558",0.13,"158,803",0.01,"574,824",0.04,"9,918,163",0.77,"2,464,903",0.19,"68,957","93,835",0.064,"169,171",1121.777065,0.083545187
Michigan,MI,2020,"1,095,610","536,589","559,021","883,044",0.81,"96,535",0.09,"16,210",0.01,"44,520",0.04,"827,415",0.76,"200,201",0.183,"74,008","99,144",0.077,"37,812",1606.606723,0.110831621
Mississippi,MS,2020,"5,190,705","2,521,689","2,669,016","3,617,237",0.7,"1,395,125",0.27,"99,727",0.02,"121,947",0.02,"3,940,745",0.76,"967,223",0.186,"59,318","81,580",0.056,"99,188",1318.455042,0.106916107
Missouri,MO,2020,"895,376","451,950","443,426","775,061",0.87,"25,895",0.03,"93,881",0.1,"20,954",0.02,"659,768",0.74,"157,883",0.176,"66,143","86,194",0.028,"16,040",998.8414142,0.096376425
Nebraska,NE,2020,"6,975,218","3,413,181","3,562,037","5,541,396",0.79,"1,214,204",0.17,"141,000",0.02,"165,773",0.02,"5,248,512",0.75,"1,187,354",0.17,"59,695","83,777",0.053,"202,950",1197.325762,0.076322806
Nevada,NV,2020,"29,527,941","14,739,011","14,788,930","20,947,659",0.71,"4,031,100",0.14,"697,766",0.02,"1,846,200",0.06,"19,375,866",0.66,"3,892,411",0.132,"66,963","93,668",0.062,"892,499",1216.484052,0.068134465
New Mexico,NM,2020,"3,337,975","1,694,770","1,643,205","2,949,899",0.88,"69,900",0.02,"84,484",0.03,"134,220",0.04,"2,251,328",0.67,"388,120",0.116,"79,449","105,076",0.035,"186,736",1753.085404,0.154427882
New York,NY,2020,"645,570","320,293","325,277","619,150",0.96,"12,965",0.02,"11,990",0.02,"15,970",0.02,"518,387",0.8,"133,173",0.206,"72,431","94,496",0.042,"21,230",1615.883035,0.082976205
North Dakota,ND,2020,"8,642,274","4,273,931","4,368,343","5,994,739",0.69,"1,828,776",0.21,"176,135",0.02,"736,940",0.09,"6,354,439",0.74,"1,406,480",0.163,"80,963","111,287",0.048,"132,916",1363.710027,0.084842616
Ohio,OH,2020,"7,738,692","3,897,320","3,841,372","6,043,274",0.78,"457,780",0.06,"274,352",0.04,"950,527",0.12,"5,529,508",0.71,"1,251,640",0.162,"84,247","116,349",0.059,"226,227",1566.568648,0.10693313
Oklahoma,OK,2020,"1,782,959","887,360","895,599","1,704,440",0.96,"76,807",0.04,"32,658",0.02,"20,932",0.01,"1,408,767",0.79,"368,775",0.207,"51,248","72,294",0.062,"-24,467",942.2339851,-0.025096388
Rhode Island,RI,2020,"5,895,908","2,955,249","2,940,659","5,150,413",0.87,"450,872",0.08,"117,368",0.02,"217,403",0.04,"4,480,576",0.76,"1,054,247",0.179,"67,125","88,304",0.035,"88,933",1015.757429,0.040955751
South Carolina,SC,2020,"578,803","296,007","282,796","536,008",0.93,"9,062",0.02,"24,513",0.04,"9,056",0.02,"436,049",0.75,"103,822",0.179,"65,204","86,911",0.037,"-2,545",929.3657162,0.01073266
West Virginia,WV,2020,"5,074,296","2,461,248","2,613,048","3,540,785",0.7,"1,384,973",0.27,"96,365",0.02,"111,795",0.02,"2,674,230",0.53,"913,013",0.18,"59,674","82,956",0.043,"34,419",1249.759829,0.082555204
Wisconsin,WI,2020,"733,583","385,667","347,916","532,234",0.73,"39,083",0.05,"148,357",0.2,"66,732",0.09,"537,962",0.73,"101,474",0.138,"88,121","109,524",0.046,910,1518.098867,0.082380408
Alabama,AL,2021,"7,359,197","3,678,381","3,680,816","5,632,065",0.77,"473,603",0.06,"438,521",0.06,"369,675",0.05,"5,322,581",0.72,"1,381,954",0.188,"74,568","101,316",0.043,"82,881",1640.232147,0.076535761
Alaska,AK,2021,"3,045,637","1,504,488","1,541,149","2,416,515",0.79,"495,612",0.16,"89,937",0.03,"67,838",0.02,"2,261,503",0.74,"538,842",0.177,"55,432","76,853",0.045,"19,746",1085.886977,0.090909706
Arkansas,AR,2021,"39,029,342","19,536,425","19,492,917","22,088,290",0.57,"2,829,724",0.07,"1,252,083",0.03,"7,067,135",0.18,"26,078,922",0.67,"6,158,902",0.158,"91,551","131,504",0.053,"-208,494",2251.544866,0.067668032
Delaware,DE,2021,"5,839,926","2,960,896","2,879,030","4,923,231",0.84,"331,146",0.06,"185,051",0.03,"292,259",0.05,"4,369,352",0.75,"915,661",0.157,"89,302","119,039",0.035,"27,857",2814.702177,0.166573909
Hawaii,HI,2021,"3,626,205","1,776,689","1,849,516","2,728,006",0.75,"501,228",0.14,"54,527",0.02,"214,181",0.06,"2,668,407",0.74,"663,712",0.183,"88,429","128,160",0.047,"20,608",1770.19297,0.105449906
Indiana,IN,2021,"1,018,396","494,657","523,739","694,175",0.68,"257,899",0.25,"16,799",0.02,"53,268",0.05,"769,749",0.76,"212,180",0.208,"82,174","105,438",0.043,"15,012",1602.734867,0.098495798
Kansas,KS,2021,"22,244,823","10,953,468","11,291,355","16,448,100",0.74,"3,940,493",0.18,"315,854",0.01,"872,174",0.04,"16,141,900",0.73,"4,794,414",0.216,"69,303","99,349",0.04,"463,695",1947.03096,0.176656155
Kentucky,KY,2021,"10,912,876","5,323,951","5,588,925","6,400,512",0.59,"3,669,298",0.34,"229,975",0.02,"591,612",0.05,"7,885,389",0.72,"1,644,275",0.151,"72,837","99,863",0.042,"113,310",1402.644604,0.114474246
Louisiana,LA,2021,"1,440,196","725,309","714,887","631,327",0.44,"56,951",0.04,"46,105",0.03,"812,862",0.56,"1,057,268",0.73,"294,654",0.205,"92,458","120,969",0.036,"-1,357",2761.874874,0.095343736
Massachusetts,MA,2021,"1,939,033","976,925","962,108","1,773,226",0.91,"28,658",0.01,"63,004",0.03,"50,687",0.03,"1,418,306",0.73,"329,530",0.17,"72,785","94,503",0.03,"38,110",1369.434924,0.044653946
Michigan,MI,2021,"12,582,032","6,229,035","6,352,997","8,967,181",0.71,"1,931,027",0.15,"249,682",0.02,"881,764",0.07,"9,076,287",0.72,"2,164,940",0.172,"76,708","106,728",0.048,"-89,437",1012.551304,0.050776151
Mississippi,MS,2021,"6,833,037","3,392,667","3,440,370","5,744,571",0.84,"769,996",0.11,"120,130",0.02,"218,761",0.03,"5,054,476",0.74,"1,157,426",0.169,"66,785","88,805",0.036,"27,052",1027.261716,0.088782251
Missouri,MO,2021,"3,200,517","1,607,659","1,592,858","2,901,495",0.91,"168,815",0.05,"53,062",0.02,"99,472",0.03,"2,390,845",0.75,"588,879",0.184,"69,588","92,695",0.029,"7,438",1023.726753,0.06300351
Nebraska,NE,2021,"2,937,150","1,473,791","1,463,359","2,520,276",0.86,"222,702",0.08,"95,498",0.03,"111,808",0.04,"2,138,560",0.73,"506,342",0.172,"68,925","93,221",0.036,"2,568",924.8741038,0.080845028
Nevada,NV,2021,"4,512,310","2,233,158","2,279,152","4,005,434",0.89,"432,293",0.1,"78,006",0.02,"91,658",0.02,"3,419,836",0.76,"791,113",0.175,"59,341","82,614",0.043,"2,916",1096.527812,0.11091216
New Mexico,NM,2021,"4,590,241","2,248,146","2,342,095","2,931,842",0.64,"1,526,386",0.33,"103,401",0.02,"104,841",0.02,"3,436,396",0.75,"780,061",0.17,"55,416","79,175",0.054,"-33,806",1190.828128,0.009529834
New York,NY,2021,"1,385,340","684,557","700,783","1,329,331",0.96,"35,473",0.03,"25,539",0.02,"25,566",0.02,"1,119,712",0.81,"312,893",0.226,"69,543","93,555",0.033,"13,093",1418.934636,0.056553561
North Dakota,ND,2021,"6,164,660","3,004,117","3,160,543","3,416,460",0.55,"2,006,889",0.33,"102,216",0.02,"496,728",0.08,"4,410,631",0.72,"1,042,779",0.169,"94,991","125,876",0.04,-469,1538.620522,0.081863991
Ohio,OH,2021,"6,981,974","3,419,487","3,562,487","5,434,894",0.78,"712,363",0.1,"75,889",0.01,"588,732",0.08,"5,139,152",0.74,"1,260,100",0.18,"94,488","133,823",0.041,"-2,749",1967.370959,0.11196425
Oklahoma,OK,2021,"10,034,118","4,979,089","5,055,029","8,095,147",0.81,"1,538,795",0.15,"186,247",0.02,"422,772",0.04,"7,661,198",0.76,"1,877,562",0.187,"66,986","91,856",0.046,"-16,693",1226.501174,0.099008861
Rhode Island,RI,2021,"5,717,184","2,869,638","2,847,546","4,773,841",0.83,"503,636",0.09,"139,810",0.02,"361,629",0.06,"4,250,764",0.74,"995,047",0.174,"82,338","109,737",0.032,"9,794",1161.689204,-0.040890763
South Carolina,SC,2021,"2,940,057","1,426,689","1,513,368","1,757,735",0.6,"1,123,520",0.38,"50,630",0.02,"40,773",0.01,"2,227,795",0.76,"513,184",0.175,"52,719","72,624",0.049,"-9,908",1194.443856,0.049327782
West Virginia,WV,2021,"6,177,957","3,046,351","3,131,606","5,224,769",0.85,"775,102",0.13,"134,987",0.02,"180,566",0.03,"4,705,971",0.76,"1,113,136",0.18,"64,811","88,586",0.037,"9,770",1018.228808,0.068112055
Wisconsin,WI,2021,"1,122,867","567,273","555,594","1,030,100",0.92,"9,696",0.01,"93,330",0.08,"19,065",0.02,"876,987",0.78,"226,136",0.201,"67,631","90,874",0.03,"18,596",1593.462591,0.226462348
Alabama,AL,2022,"1,967,923","988,837","979,086","1,708,233",0.87,"127,176",0.06,"54,699",0.03,"67,003",0.03,"1,422,853",0.72,"334,897",0.17,"69,597","94,599",0.023,"4,231",1050.333993,0.076417611
Alaska,AK,2022,"3,177,772","1,599,922","1,577,850","2,073,003",0.65,"387,145",0.12,"111,001",0.03,"377,564",0.12,"2,227,239",0.7,"538,491",0.169,"72,333","98,422",0.055,"33,781",1635.631467,0.015663004
Arkansas,AR,2022,"1,395,231","696,786","698,445","1,309,756",0.94,"33,641",0.02,"17,640",0.01,"52,264",0.04,"1,113,482",0.8,"281,983",0.202,"89,992","119,452",0.025,"6,239",1637.770494,0.064319198
Delaware,DE,2022,"9,261,699","4,564,704","4,696,995","6,003,611",0.65,"1,410,694",0.15,"139,267",0.02,"1,050,899",0.11,"6,453,101",0.7,"1,611,726",0.174,"96,346","134,191",0.05,"-5,431",1991.592932,0.142740614
Hawaii,HI,2022,"2,113,344","1,047,785","1,065,559","1,497,263",0.71,"71,966",0.03,"249,137",0.12,"59,363",0.03,"1,553,783",0.74,"404,784",0.192,"59,726","82,382",0.048,"-2,533",1278.765296,0.015283322
Indiana,IN,2022,"19,677,151","9,628,899","10,048,252","12,470,073",0.63,"3,462,837",0.18,"328,639",0.02,"2,024,780",0.1,"14,086,777",0.72,"3,564,596",0.181,"79,557","119,130",0.051,"-158,762",1551.872185,0.124516142
Kansas,KS,2022,"10,698,973","5,229,792","5,469,181","7,427,233",0.69,"2,436,403",0.23,"282,887",0.03,"439,392",0.04,"7,947,900",0.74,"1,866,614",0.174,"67,481","94,353",0.038,"147,811",1444.092522,0.115750023
Kentucky,KY,2022,"779,261","398,845","380,416","687,389",0.88,"32,372",0.04,"48,467",0.06,"17,199",0.02,"579,399",0.74,"130,293",0.167,"71,970","97,699",0.022,"4,313",924.8527507,0.031093515
Louisiana,LA,2022,"11,756,058","5,810,211","5,945,847","9,772,251",0.83,"1,705,461",0.15,"190,753",0.02,"376,575",0.03,"8,962,362",0.76,"2,168,665",0.184,"65,720","90,109",0.037,"-23,959",1043.097521,0.054400355
Massachusetts,MA,2022,"4,019,800","2,004,195","2,015,605","3,160,412",0.79,"392,236",0.1,"573,863",0.14,"130,527",0.03,"2,931,859",0.73,"661,996",0.165,"59,673","82,741",0.042,"33,161",1044.056567,-0.005192136
Michigan,MI,2022,"4,240,137","2,121,651","2,118,486","3,639,127",0.86,"140,010",0.03,"163,101",0.04,"288,867",0.07,"3,201,679",0.76,"816,714",0.193,"75,657","102,923",0.043,"-6,018",1650.97753,0.029522167
Mississippi,MS,2022,"12,972,008","6,399,830","6,572,178","10,496,046",0.81,"1,673,221",0.13,"179,855",0.01,"598,781",0.05,"9,969,837",0.77,"2,539,054",0.196,"71,798","100,015",0.043,"7,952",1205.70468,0.074816661
Missouri,MO,2022,"1,093,734","535,841","557,893","876,540",0.8,"111,535",0.1,"19,583",0.02,"49,896",0.05,"822,935",0.75,"206,117",0.188,"81,854","108,023",0.045,"-1,876",1798.990177,0.119745206
