name,state,year,state_pop,Male,female,white,share_white,Black,share_black,India,share India,Asian,share_asian,overage18,share_18,overage65, share_65 ,median_income,mean_income, Unemp_rate ,Pop_change,rental,rental_grow
North Dakota,ND,2016,"578,759","296,005","282,754","540,317",0.93,"12,428",0.02,"19,199",0.03,"8,673",0.01,"434,852",0.75,"98,789",0.171,"65,003","83,155",0.036,"1,022",967.9548076,0.05116846
Ohio,OH,2016,"4,893,186","2,365,734","2,527,452","3,411,460",0.7,"1,349,127",0.28,"61,655",0.01,"89,031",0.02,"3,709,180",0.76,"854,312",0.175,"52,035","71,964",0.056,"-9,999",1045.794504,0.007275433
Oklahoma,OK,2016,"736,990","384,653","352,337","529,303",0.72,"37,226",0.05,"146,557",0.2,"64,669",0.09,"532,553",0.72,"90,588",0.123,"77,790","98,811",0.072,"5,445",1238.399742,0.01900482
Rhode Island,RI,2016,"7,174,064","3,564,979","3,609,085","5,752,282",0.8,"425,315",0.06,"405,281",0.06,"326,446",0.05,"5,049,926",0.7,"1,307,241",0.182,"61,529","84,380",0.058,"-104,653",1351.797207,0.065052596
South Carolina,SC,2016,"3,011,873","1,478,511","1,533,362","2,382,587",0.79,"493,883",0.16,"61,280",0.02,"59,949",0.02,"2,219,479",0.74,"524,237",0.174,"49,475","69,357",0.052,"-5,931",948.8216983,0.038464034
West Virginia,WV,2016,"39,346,023","19,562,882","19,783,141","24,826,054",0.63,"2,806,900",0.07,"806,874",0.02,"6,764,118",0.17,"25,774,911",0.66,"5,834,998",0.148,"78,672","111,622",0.062,"-166,200",1978.965452,0.032350505
Wisconsin,WI,2016,"5,684,926","2,862,153","2,822,773","4,948,790",0.87,"309,449",0.05,"125,039",0.02,"252,624",0.04,"4,153,976",0.73,"845,378",0.149,"75,231","100,933",0.046,"-73,810",2220.145349,0.055048463
Alabama,AL,2017,"3,570,549","1,741,688","1,828,861","2,799,956",0.78,"456,214",0.13,"35,973",0.01,"196,347",0.05,"2,615,815",0.73,"629,032",0.176,"79,855","115,337",0.06,"5,262",1453.886664,0.056737367
Alaska,AK,2017,"967,679","467,720","499,959","684,795",0.71,"234,353",0.24,"9,810",0.01,"45,744",0.05,"723,159",0.75,"189,638",0.196,"69,110","92,308",0.058,"-6,085",1270.630517,0.043281368
Arkansas,AR,2017,"21,216,924","10,374,594","10,842,330","16,371,086",0.77,"3,735,264",0.18,"178,120",0.01,"763,613",0.04,"15,296,734",0.72,"4,498,198",0.212,"57,703","83,104",0.054,"-260,813",1428.58639,0.044918821
