Year,Label (Grouping),State Code,Median income (dollars),Mean income (dollars)
2020,Shelby County,AL,"78,889","103,042"
2020,Sumter County,AL,"26,150","40,483"
2020,Talladega County,AL,"43,969","59,060"
2020,Tallapoosa County,AL,"48,160","60,529"
2020,Tuscaloosa County,AL,"54,283","71,974"
2020,Walker County,AL,"45,833","60,917"
2020,Washington County,AL,"42,331","68,743"
2020,Wilcox County,AL,"35,063","47,936"
2020,Winston County,AL,"40,991","54,276"
2021,Autauga County,AL,"62,660","79,498"
2021,Baldwin County,AL,"64,346","87,709"
2021,Barbour County,AL,"36,422","55,066"
2021,Bibb County,AL,"54,277","67,396"
2021,Blount County,AL,"52,830","71,849"
2021,Bullock County,AL,"29,063","46,257"
2021,Butler County,AL,"45,236","63,862"
2021,Calhoun County,AL,"50,977","65,287"
2021,Chambers County,AL,"47,232","59,993"
2021,Cherokee County,AL,"43,475","63,492"
2021,Chilton County,AL,"56,243","68,497"
2021,Choctaw County,AL,"38,581","57,529"
2021,Clarke County,AL,"44,108","64,589"
2021,Clay County,AL,"45,163","65,502"
2021,Cleburne County,AL,"48,333","67,904"
2021,Coffee County,AL,"59,034","74,955"
2021,Colbert County,AL,"52,017","65,278"
2021,Conecuh County,AL,"37,986","53,737"
2021,Coosa County,AL,"50,013","66,585"
2021,Covington County,AL,"46,186","63,948"
2021,Crenshaw County,AL,"43,103","67,086"
2021,Cullman County,AL,"52,690","67,643"
2021,Dale County,AL,"50,052","63,351"
2021,Dallas County,AL,"34,957","49,350"
2021,DeKalb County,AL,"44,037","62,388"
2021,Elmore County,AL,"67,597","83,506"
2021,Escambia County,AL,"38,464","51,084"
2021,Etowah County,AL,"46,984","63,821"
2021,Fayette County,AL,"43,960","59,916"
2021,Franklin County,AL,"43,633","58,435"
2021,Geneva County,AL,"43,581","57,707"
2021,Greene County,AL,"28,826","41,076"
2021,Hale County,AL,"32,294","52,600"
2021,Henry County,AL,"55,870","71,087"
2021,Houston County,AL,"50,222","72,084"
2021,Jackson County,AL,"43,785","60,681"
2021,Jefferson County,AL,"58,330","85,794"
2021,Lamar County,AL,"43,324","55,331"
2021,Lauderdale County,AL,"50,000","69,687"
2021,Lawrence County,AL,"51,712","66,836"
2021,Lee County,AL,"57,191","79,097"
2021,Limestone County,AL,"70,736","88,207"
2021,Lowndes County,AL,"31,961","52,620"
2021,Macon County,AL,"39,303","56,751"
2021,Madison County,AL,"71,153","96,356"
2021,Marengo County,AL,"35,379","59,538"
2021,Marion County,AL,"44,551","56,740"
2021,Marshall County,AL,"52,938","72,164"
2021,Mobile County,AL,"51,169","69,856"
2021,Monroe County,AL,"32,631","53,865"
2021,Montgomery County,AL,"52,511","73,923"
2021,Morgan County,AL,"56,128","76,093"
2021,Perry County,AL,"27,057","39,025"
2021,Pickens County,AL,"43,389","60,648"
2021,Pike County,AL,"40,106","65,204"
2021,Randolph County,AL,"47,081","63,821"
2021,Russell County,AL,"44,065","59,382"
2021,St. Clair County,AL,"65,070","78,592"
2021,Shelby County,AL,"82,592","109,244"
2021,Sumter County,AL,"27,099","43,404"
2021,Talladega County,AL,"45,400","61,136"
2021,Tallapoosa County,AL,"50,652","64,860"
2021,Tuscaloosa County,AL,"57,508","75,800"
2021,Walker County,AL,"47,442","63,117"
2021,Washington County,AL,"44,512","72,183"
2021,Wilcox County,AL,"36,385","49,653"
2021,Winston County,AL,"46,096","61,741"
